round,lumber,brick,grain,wool,ore
1,1,2,0,0,2
2,2,1,0,0,2
3,2,1,0,0,2
4,2,1,0,0,2
5,2,1,0,0,2
6,1,1,0,0,3
7,1,1,0,0,3
8,1,1,0,0,3
9,0,1,0,0,4
10,0,1,0,0,4
11,0,1,0,0,4
12,0,1,0,0,4
13,0,1,0,0,4
14,0,1,0,0,4
15,0,1,0,0,4
16,0,2,0,0,3
17,0,2,0,0,3
18,0,3,0,0,2
19,0,3,0,0,2
20,1,1,1,2,0
21,1,1,1,2,0
