text,created_at,status_id
"Within this mighty landscape, I have always known that darkness prevails. ",2017-11-13T21:16:01Z,930182485253562368
Do you love your evil ball of floof? Of course you do. ,2017-11-13T14:48:01Z,930084841890238465
Nothingness turns to nothingness. ,2017-11-13T00:55:01Z,929875212010745856
"I am the unearthly shadow, the one who lurks in the night. ",2017-11-12T22:44:24Z,929842339941462016
I shall cremate this world. ,2017-11-12T00:01:00Z,929499231752212481
Sunrise never came. ,2017-11-11T17:12:01Z,929396307097210880
"I have seen the abyss, and all that lies within. ",2017-11-10T21:44:01Z,929102369631162369
"From hell we arise, by fire we rule. ",2017-11-10T15:06:00Z,929002207013425153
I am the key to infernal power. My heart is black as night. ,2017-11-09T21:58:00Z,928743500748791808
"We are all forgotten, we are all dust, we are all unimportant. ",2017-11-09T16:23:00Z,928659194986631168
He who has experience knows cruel sorrow as his companion. ,2017-11-08T21:25:00Z,928372809151102982
"We are here, eternal. ",2017-11-08T17:35:00Z,928314928276164608
From the frozen forest to the urban office. ,2017-11-07T22:57:45Z,928033763656736768
"The old ways, elsewhere long gone, still linger in these parts. The spirit of the mountain is strong. ",2017-11-07T22:19:03Z,928024021244944385
The original. ,2017-11-07T17:49:00Z,927956063042899971
"Deep into the abyss I fall, with a never-ending pain. ",2017-11-06T21:01:00Z,927641994452717569
We are drawn into the darkness. ,2017-11-06T14:30:00Z,927543594357022721
We are the warriors of Satan's legion. We are the soldiers of infernal war. ,2017-11-05T22:40:12Z,927304569469599744
The blood inside my veins is poisoned by funerals and dreams. ,2017-11-04T21:48:00Z,926929045522063360
"Forever dying, but never dead. ",2017-11-03T20:46:01Z,926551058893234176
In fog and darkness we walk. ,2017-11-03T16:04:00Z,926480086710206464
We mock the light and drift towards the shadows. We are drawn into the darkness. ,2017-11-02T23:11:38Z,926225315034144768
