animal;gestation;label;color
my thesis;1246;closed_book;gold
bear;220;bear;grey
cat;64;cat;grey
dog;61;dog;grey
elephant;617;elephant;grey
mouse;19;mouse;grey
pig;112;pig;grey
sheep;144;sheep;grey
tiger;105;tiger;grey
whale;590;whale;grey
wolf;68;wolf;grey
human;280;baby;grey
