"Tweet id","Tweet permalink","Tweet text","time","impressions","engagements","engagement rate","retweets","replies","likes","user profile clicks","url clicks","hashtag clicks","detail expands","permalink clicks","app opens","app installs","follows","email tweet","dial phone","media views","media engagements","promoted impressions","promoted engagements","promoted engagement rate","promoted retweets","promoted replies","promoted likes","promoted user profile clicks","promoted url clicks","promoted hashtag clicks","promoted detail expands","promoted permalink clicks","promoted app opens","promoted app installs","promoted follows","promoted email tweet","promoted dial phone","promoted media views","promoted media engagements"
"847726859177545728","https://twitter.com/ma_salmon/status/847726859177545728","@IDEK_Neu @hspter dazu gibt es nun die Option, in praise neue Sprachen einzufügen https://t.co/52LwI4wbzy (aber gibt es überhaupt Komplimente auf 🇩🇪? 🤔😂)","2017-03-31 08:26 +0000","108.0","7.0","0.06481481481481481","0.0","1.0","1.0","1.0","2.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"847726002960711682","https://twitter.com/ma_salmon/status/847726002960711682","@ExpectAPatronum  https://t.co/into4Ogb5J","2017-03-31 08:23 +0000","350.0","5.0","0.014285714285714285","1.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0","0","0","0","0","32","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"847725405536571392","https://twitter.com/ma_salmon/status/847725405536571392","@IDEK_Neu next level = plotting a random cat thanks to @hspter's https://t.co/HwXy6BsvQY","2017-03-31 08:21 +0000","51.0","6.0","0.11764705882352941","0.0","1.0","0.0","1.0","2.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"847724395971751938","https://twitter.com/ma_salmon/status/847724395971751938","@ExpectAPatronum I'm waiting too!! https://t.co/d4ttYGH9l2","2017-03-31 08:17 +0000","70.0","3.0","0.04285714285714286","0.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","0","0","0","0","0","8","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"847721909143781378","https://twitter.com/ma_salmon/status/847721909143781378","@RLadiesMAD @d4tagirl @ZofiatheWitch @MineDogucu @palolili23 @_lacion_ @RLadiesGlobal @RLadiesBA @RLadiesBCN  https://t.co/Wy3akUtVLj","2017-03-31 08:07 +0000","392.0","6.0","0.015306122448979591","0.0","1.0","4.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","25","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"847721412940804097","https://twitter.com/ma_salmon/status/847721412940804097","#rstats suggestion! Write beepr::beep() and praise::praise() at the end of each script 💛💚💙 https://t.co/UZeiCAv3DU","2017-03-31 08:05 +0000","16461.0","160.0","0.009719944110321366","22.0","1.0","67.0","26.0","2.0","4.0","37.0","1.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"847706472561623041","https://twitter.com/ma_salmon/status/847706472561623041","@ExpectAPatronum @MATLAB Is it a matlab or a catlab course? 🤔","2017-03-31 07:05 +0000","77.0","1.0","0.012987012987012988","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"847527987868315648","https://twitter.com/ma_salmon/status/847527987868315648","@d4tagirl @ZofiatheWitch @MineDogucu @palolili23 @_lacion_ @RLadiesGlobal @RLadiesBA And then you can use your Spanish skills at @RLadiesBCN &amp; @RLadiesMAD 😇","2017-03-30 19:16 +0000","418.0","10.0","0.023923444976076555","0.0","1.0","6.0","0.0","0.0","0.0","3.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"847478992567283713","https://twitter.com/ma_salmon/status/847478992567283713","@kopshtik @robinson_es @drob before you think I'm an expert I ctrl+F ""api"" in https://t.co/iXx5SVDjbi 😂 https://t.co/0FOEdBAq3w","2017-03-30 16:01 +0000","216.0","11.0","0.05092592592592592","0.0","0.0","2.0","1.0","3.0","0.0","4.0","0.0","0","0","0","0","0","36","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"847477920452943872","https://twitter.com/ma_salmon/status/847477920452943872","@kopshtik @robinson_es @drob rapidash looks quite cool https://t.co/1kFwMGIGXf","2017-03-30 15:57 +0000","168.0","6.0","0.03571428571428571","0.0","1.0","1.0","0.0","0.0","0.0","4.0","0.0","0","0","0","0","0","30","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"847471541927333889","https://twitter.com/ma_salmon/status/847471541927333889","@LiabeufD https://t.co/fYonQ1xysh","2017-03-30 15:32 +0000","49.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"847443630360993792","https://twitter.com/ma_salmon/status/847443630360993792","@nj_tierney @JackkStat @mdsumner the fact that some ppl have a worse multi-tabbing addiction shouldn't prevent you from seeking treatment 😜","2017-03-30 13:41 +0000","861.0","12.0","0.013937282229965157","0.0","1.0","3.0","6.0","0.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"847428920412585984","https://twitter.com/ma_salmon/status/847428920412585984","@KristinaNatSci well I hate multi-tabbing but now I see I know many multi-tabbers and can't hate them for that 😂","2017-03-30 12:42 +0000","35.0","1.0","0.02857142857142857","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"847417137371074562","https://twitter.com/ma_salmon/status/847417137371074562","@_lacion_ @Chucheria @nj_tierney @Rebitt OMG taboholics are everywhere, I thought you were my friends https://t.co/mJhXp822R4","2017-03-30 11:56 +0000","254.0","6.0","0.023622047244094488","0.0","1.0","4.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","21","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"847413819806687234","https://twitter.com/ma_salmon/status/847413819806687234","@carroll_jono @MilesMcBain is like a supernanny https://t.co/mXwUFxsxuZ","2017-03-30 11:42 +0000","201.0","8.0","0.03980099502487562","0.0","1.0","3.0","0.0","0.0","0.0","2.0","0.0","0","0","0","0","0","19","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"847410518692315136","https://twitter.com/ma_salmon/status/847410518692315136","@carroll_jono @noamross @nj_tierney @hrbrmstr yep and those who have several library call to the same package https://t.co/90Ab9pu8Yv","2017-03-30 11:29 +0000","169.0","11.0","0.0650887573964497","0.0","2.0","2.0","0.0","5.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"847409259348230144","https://twitter.com/ma_salmon/status/847409259348230144","@noamross @nj_tierney @hrbrmstr but then the hoardRs would be a good TV show concept, right?","2017-03-30 11:24 +0000","869.0","12.0","0.01380897583429229","0.0","2.0","3.0","4.0","0.0","0.0","3.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"847408959254286338","https://twitter.com/ma_salmon/status/847408959254286338","@noamross @nj_tierney @hrbrmstr be strong Nick. https://t.co/WObpwZGG3g","2017-03-30 11:23 +0000","820.0","7.0","0.00853658536585366","0.0","1.0","1.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","181","4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"847406882520129538","https://twitter.com/ma_salmon/status/847406882520129538","@hrbrmstr @nj_tierney nooo I already plan an intervention in LA don't make him feel good 😱","2017-03-30 11:15 +0000","967.0","10.0","0.010341261633919338","0.0","1.0","1.0","2.0","0.0","0.0","6.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"847379304140779520","https://twitter.com/ma_salmon/status/847379304140779520","@nj_tierney yes he's a master! I learnt everything about gifs (including their existence and usefulness 😂) from @dirk_sch","2017-03-30 09:25 +0000","451.0","9.0","0.019955654101995565","0.0","1.0","1.0","2.0","0.0","0.0","5.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"847361415962808322","https://twitter.com/ma_salmon/status/847361415962808322","@nj_tierney @Rebitt @Chucheria 1st step = stop listening to other taboholics when they say it's ok https://t.co/lI1l6T3j6l","2017-03-30 08:14 +0000","157.0","7.0","0.044585987261146494","0.0","1.0","1.0","2.0","0.0","0.0","0.0","0.0","0","0","0","0","0","24","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"847357409253249028","https://twitter.com/ma_salmon/status/847357409253249028","@Chucheria @nj_tierney noooo Beaaaa!  Even @Rebitt is a Chrome multi-tabber, I've seen it during her tutorial and started hyperventilating. https://t.co/V1F3PCrMVQ","2017-03-30 07:58 +0000","1161.0","7.0","0.006029285099052541","1.0","2.0","3.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","39","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"847355040704614400","https://twitter.com/ma_salmon/status/847355040704614400","Friends don't let friends do this 😱 https://t.co/0ICYcx2HvF","2017-03-30 07:49 +0000","1094.0","17.0","0.015539305301645339","2.0","1.0","9.0","2.0","2.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"847350627336241152","https://twitter.com/ma_salmon/status/847350627336241152","@suman12029 btw ICYMI h2o has this repo with R tutorials https://t.co/SZbyf6jqPN that was the support of @ledell's tutorial for @RLadiesBCN","2017-03-30 07:31 +0000","172.0","8.0","0.046511627906976744","0.0","0.0","3.0","1.0","3.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"847347108701102080","https://twitter.com/ma_salmon/status/847347108701102080","@nj_tierney 😱","2017-03-30 07:17 +0000","580.0","4.0","0.006896551724137931","0.0","1.0","1.0","0.0","0.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"847343051613679616","https://twitter.com/ma_salmon/status/847343051613679616","@drob @kopshtik @robinson_es would you call it packemon?","2017-03-30 07:01 +0000","516.0","5.0","0.009689922480620155","0.0","1.0","1.0","1.0","0.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"847172945185292288","https://twitter.com/ma_salmon/status/847172945185292288","@hrbrmstr @dataandme do you star manually or automatically?","2017-03-29 19:45 +0000","243.0","4.0","0.01646090534979424","0.0","1.0","1.0","0.0","0.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"847148804734406656","https://twitter.com/ma_salmon/status/847148804734406656","@drob oh this looks great! Fingers crossed for a Github day soon then 😉","2017-03-29 18:09 +0000","351.0","5.0","0.014245014245014245","0.0","0.0","0.0","1.0","0.0","0.0","4.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"847075282871877633","https://twitter.com/ma_salmon/status/847075282871877633","@drob it's quite cool that one only needs to suggest stuff before you implement it (e.g. coordinates) 👌 &amp; thanks @genetics_blog","2017-03-29 13:17 +0000","399.0","4.0","0.010025062656641603","0.0","0.0","1.0","0.0","0.0","0.0","3.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"847069978771763201","https://twitter.com/ma_salmon/status/847069978771763201","@8bitscollider I am using it on fairly small tables (about 1,000 rows) &amp; don't have to wait at all @drob","2017-03-29 12:56 +0000","346.0","17.0","0.049132947976878616","0.0","1.0","0.0","1.0","0.0","0.0","15.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"847067982572539904","https://twitter.com/ma_salmon/status/847067982572539904","@nj_tierney @MilesMcBain https://t.co/C95JX7FaQ5","2017-03-29 12:48 +0000","126.0","6.0","0.047619047619047616","0.0","0.0","1.0","0.0","2.0","0.0","1.0","0.0","0","0","0","0","0","20","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"847059024927473664","https://twitter.com/ma_salmon/status/847059024927473664","@drob btw in my case I have a table with distinct start &amp; end and another with a single timedate that I used as both start&amp;end.","2017-03-29 12:13 +0000","399.0","5.0","0.012531328320802004","0.0","1.0","1.0","1.0","0.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"847047008175230976","https://twitter.com/ma_salmon/status/847047008175230976","@drob I really went to the repo page thinking ""maybe it can do that?"" and was so happy when I saw it can! thank you so much!","2017-03-29 11:25 +0000","639.0","6.0","0.009389671361502348","0.0","2.0","2.0","1.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"847046078662873088","https://twitter.com/ma_salmon/status/847046078662873088","TIL that @drob's fuzzyjoin supports timedate interval joins between tables, just what I needed! https://t.co/ZZnhCpUQh3 #rstats https://t.co/IRAxchNvZo","2017-03-29 11:21 +0000","4165.0","150.0","0.03601440576230492","11.0","2.0","34.0","7.0","54.0","0.0","17.0","5.0","0","0","0","0","0","822","20","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"847045417917386753","https://twitter.com/ma_salmon/status/847045417917386753","@Chucheria https://t.co/PdI9zNvIx6","2017-03-29 11:18 +0000","172.0","1.0","0.005813953488372093","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","11","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"847015093581893632","https://twitter.com/ma_salmon/status/847015093581893632","@Chucheria https://t.co/BOUDiopSHk","2017-03-29 09:18 +0000","121.0","4.0","0.03305785123966942","0.0","1.0","1.0","2.0","0.0","0.0","0.0","0.0","0","0","0","0","0","16","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
